"","x"
"1",310718310.965964
"2",304756746.830368
"3",319215005.723083
"4",319727612.838725
"5",310778652.555378
"6",257200898.659463
"7",203162640.127942
"8",238045594.741783
"9",209090635.990996
"10",209994077.328014
"11",210494586.318734
"12",226109056.50169
"13",221762916.841886
"14",216256733.532329
"15",239230479.337152
"16",140287771.919055
"17",245367690.786077
"18",102704566.127749
"19",129806384.743845
"20",114032407.222253
"21",107561664.272606
"22",103871125.288799
"23",130439398.30661
"24",121388007.598044
"25",97266410.2497612
"26",106452463.186421
"27",101313333.214805
"28",127768985.013042
"29",102498657.922061
"30",106753157.195929
"31",94713074.1482321
"32",111282329.805513
"33",102675270.076987
"34",102857248.687973
"35",98232192.6629871
"36",112932432.159509
"37",104385021.477092
"38",106147330.398769
"39",200267567.200701
"40",125441097.483818
"41",113360566.838173
"42",112749873.019679
"43",107453576.900722
"44",135010503.409721
"45",100902396.015713
"46",104028878.114561
"47",119905063.825114
"48",107496586.22115
"49",121141757.882611
"50",98214944.5195096
"51",110760655.580823
"52",107858539.027423
"53",95098046.6929577
"54",102052188.233563
"55",110065543.967892
"56",111628698.55803
"57",101192256.320507
"58",107566884.486904
"59",118278944.067278
"60",115687867.883711
"61",110691952.336285
"62",107815678.913601
"63",118595475.027048
"64",112548318.713425
"65",111161393.999003
"66",105983892.46432
"67",120183839.447029
"68",115612852.077234
"69",111710362.210575
"70",112398956.74064
"71",111132816.689217
"72",100868284.275671
"73",103302650.018908
"74",118696511.394863
"75",90891436.060361
"76",101590441.111311
"77",122411927.65008
"78",106057595.866082
"79",112036370.572368
"80",87226342.5273539
"81",154991510.82727
"82",111798648.482369
"83",117715917.111218
"84",123726189.852134
"85",102743159.577123
"86",101946745.594134
"87",94962954.7841348
"88",160363449.784456
"89",112409083.952224
"90",109156404.011005
"91",123271091.635307
"92",128683520.741548
"93",107667131.771955
"94",109787720.608415
"95",102512459.599632
"96",109150496.093618
"97",106284515.772166
"98",132312619.414344
"99",121903334.159806
"100",122393141.370312
"101",104973718.519291
"102",106750899.125403
"103",97722179.4907322
"104",97434137.7193133
"105",121329829.326043
"106",118045815.603084
"107",114717180.994256
"108",108481520.814503
"109",101364524.44457
"110",102241379.824174
"111",100934567.378804
"112",107673660.055432
"113",114890615.785107
"114",102976322.129351
"115",120588091.732348
"116",125369258.116897
"117",99370271.2738342
"118",121718100.570557
"119",121844455.056486
"120",105063046.549836
"121",127025278.188466
"122",105715221.509228
"123",146125238.662088
"124",100355458.305448
"125",102663030.446531
"126",123121361.187494
"127",102242549.723751
"128",105765210.481315
"129",108629403.673843
"130",116745252.854448
"131",141766752.875691
"132",102683943.646098
"133",119805706.51199
"134",123529730.281753
"135",113215727.588118
"136",100688468.088613
"137",113423680.359128
"138",108168295.908053
"139",106188241.899707
"140",96337617.6715603
"141",114800858.809463
"142",102923736.701648
"143",124283590.33618
"144",108039710.721081
"145",106351103.855223
"146",172588709.851857
"147",101402012.246813
"148",114808032.405584
"149",111784649.564648
"150",104499417.729624
"151",115993014.860552
"152",99366778.1199661
"153",95073348.5357841
"154",111204220.467698
"155",94060459.6800696
"156",101826839.625781
"157",142586917.018791
"158",112149222.578221
"159",140787766.928292
"160",101726988.350676
"161",105155865.509271
"162",106743705.172919
"163",109756029.677525
"164",116662139.13281
"165",95242249.0921661
"166",101666755.805945
"167",115004286.820951
"168",117863508.088767
"169",108531415.206137
"170",106415021.73006
"171",110183285.987489
"172",109012217.652346
"173",120123347.730828
"174",113702622.395044
"175",101632180.261996
"176",99861602.7875171
"177",115343272.937672
"178",116181472.42084
"179",107059381.971405
"180",121212627.235395
"181",114194038.791839
"182",115500926.060334
"183",99519032.120766
"184",104971240.889114
"185",105757261.156801
"186",105195452.839165
"187",116742906.321031
"188",117021988.010737
"189",108740682.180395
"190",104396774.507261
"191",113947298.61434
"192",98443087.1752145
"193",93847583.6654199
"194",106699533.721501
"195",96975665.8204682
"196",105463938.195502
"197",112967194.022264
"198",102255659.143252
"199",119247697.013563
"200",108968743.923879
"201",129978681.366769
"202",138187719.656817
"203",112119295.816346
"204",101607492.390632
"205",109979451.576229
"206",117197343.82134
"207",110911786.881761
"208",108896441.671181
"209",97779369.6101989
"210",106940886.167788
"211",93083916.6355685
"212",105653309.727875
"213",99443609.2849465
"214",99727690.0600449
"215",107071827.198577
"216",112508449.773004
"217",105502543.916729
"218",102489593.072951
"219",109812410.58856
"220",107978939.937904
"221",114525218.967211
"222",110409633.163641
"223",135968371.343866
"224",137312336.471265
"225",125441665.084729
"226",93910440.5625034
"227",117472444.147384
"228",121177372.176024
"229",134007418.956252
"230",103527775.010872
"231",110166158.708154
"232",112181520.894622
"233",105181489.922199
"234",120282179.787237
"235",104007013.596056
"236",105095068.680052
"237",112156537.067399
"238",97739639.7990143
"239",90379263.3301618
"240",109581733.451342
"241",120017079.771991
"242",103074872.929576
"243",104696966.499151
"244",117350620.372325
"245",123045379.653529
"246",123451045.077697
"247",98767863.4511593
"248",103000167.011803
"249",100883298.466011
"250",105101367.664367
"251",108684285.434402
"252",112300190.754009
"253",107856905.442692
"254",104326277.442666
"255",101325369.066445
"256",106839502.453859
"257",92057012.6183081
"258",97740942.5462229
"259",106255189.50216
"260",118702550.097146
"261",108348885.29458
"262",113160507.452008
"263",97212356.2174996
"264",103790908.257061
"265",94838958.8371544
"266",91326376.1602318
"267",101736073.426167
"268",104924904.094726
"269",113073588.006078
"270",101153038.030749
"271",95244910.3053103
"272",103320765.293455
"273",117375310.171042
"274",116394269.720134
"275",109463075.555049
"276",111899167.823771
"277",112942210.688365
"278",125098663.610012
"279",103161912.330883
"280",96041432.4801845
"281",105417628.89769
"282",100032242.282536
"283",106016203.346941
"284",165955972.020615
"285",105178011.860868
"286",111416474.294227
"287",126921482.930856
"288",108361489.809688
"289",104856668.730183
"290",119968941.782945
"291",113915780.418097
"292",113435873.139556
"293",102083774.658455
"294",127766306.271748
"295",114453676.310855
"296",113105512.513834
"297",107188445.229934
"298",119747053.251418
"299",124479800.872544
"300",99448007.2680876
"301",120244539.545294
"302",103363682.414629
"303",106515035.445916
"304",117558508.419464
"305",122262475.922378
"306",97242289.1773066
"307",106521352.540259
"308",106072358.003871
"309",99324759.3058612
"310",99088185.9031072
"311",90166481.5194337
"312",113878158.622425
"313",101912529.514715
"314",110162980.524251
"315",94245586.7236966
"316",125338351.569613
"317",115173386.647429
"318",108111113.550109
"319",118933317.136722
"320",103217893.834007
"321",108885888.074471
"322",105185376.03845
"323",119548591.729775
"324",108668593.704452
"325",114191290.232573
"326",138647518.264999
"327",109327421.255477
"328",96997866.1109231
"329",118433668.840977
"330",110927393.285775
"331",89529386.1057835
"332",111973119.815369
"333",120558702.910821
"334",111363145.942119
"335",110653382.42612
"336",105862006.359391
"337",116228956.081619
"338",113814230.329618
"339",103063676.064567
"340",108751021.57139
"341",117382124.736219
"342",108644733.040042
"343",101790882.849087
"344",106592163.283474
"345",114709090.143536
"346",84496717.92792
"347",106673871.433231
"348",102067955.553382
"349",119638998.535974
"350",102872622.572177
"351",114838888.994843
"352",103842859.833239
"353",102845677.844462
"354",108580810.241391
"355",106655495.701387
"356",127076733.664111
"357",110329277.136313
"358",103784271.430479
"359",102037028.551579
"360",111201022.942271
"361",118731138.754685
"362",120832760.288265
"363",103177970.674067
"364",113142947.969
"365",134874716.333712
"366",113992123.274242
"367",168307647.288028
"368",107091480.514149
"369",124718536.094166
"370",130799782.893998
"371",116569111.607929
"372",106622240.96888
"373",114326259.452893
"374",112778880.054678
"375",112265610.859835
"376",112203104.882103
"377",122661270.946191
"378",100414117.691999
"379",114318825.696445
"380",95064771.5667071
"381",107751949.762845
"382",103392175.358309
"383",114923232.920526
"384",113136519.719244
"385",105835589.359563
"386",104389091.196735
"387",127669368.123058
"388",109702496.547496
"389",99708645.4552759
"390",99013266.6116293
"391",106040784.968597
"392",108304782.699081
"393",103791630.884884
"394",102833717.843058
"395",124739407.84565
"396",113048314.678601
"397",123352338.764664
"398",108940314.810649
"399",114549828.42781
"400",98569346.6787489
"401",101828224.541497
"402",115880299.767627
"403",106140183.369941
"404",112319649.506123
"405",106235057.087511
"406",115119269.348991
"407",128563503.883365
"408",107823459.135187
"409",116485467.092164
"410",100446489.516405
"411",113154901.176126
"412",110656884.813728
"413",110564345.306114
"414",100181470.8864
"415",121881980.284679
"416",103217611.660085
"417",108912364.565083
"418",106581116.587497
"419",107294102.827209
"420",115212416.034305
"421",109091338.737417
"422",104226197.405564
"423",101043334.58452
"424",97591134.2651969
"425",106188268.125114
"426",127089905.347583
"427",111124008.368698
"428",112022869.566059
"429",111768900.638564
"430",99949645.92337
"431",102817278.924817
"432",95279279.0960044
"433",94479925.3042354
"434",118068405.932349
"435",112620931.248603
"436",114802249.673988
"437",117739386.297429
"438",117474801.258061
"439",100042723.364252
"440",108819528.556682
"441",119126205.616697
"442",116147138.089387
"443",103485010.810409
"444",104248343.883513
"445",99362027.5408828
"446",115778276.482396
"447",101749488.183322
"448",115146925.314536
"449",113115285.093553
"450",97898317.2430872
"451",113153437.22994
"452",110060797.758903
"453",114848181.881054
"454",111284766.581055
"455",98653641.0322676
"456",104684645.138046
"457",106736046.560251
"458",99463154.1763617
"459",113423239.132778
"460",113301292.14177
"461",102462576.284492
"462",113910243.144051
