"","x"
"1",291210209.722014
"2",288798284.770083
"3",306330063.113829
"4",324870514.556491
"5",294695172.989551
"6",295483321.987824
"7",293742372.268451
"8",306330884.389453
"9",308542366.430011
"10",306218078.054432
"11",319661836.260639
"12",324248737.381256
"13",294193198.319695
"14",332162608.443364
"15",282848170.559294
"16",278834471.21027
"17",302122868.880662
"18",301330245.609077
"19",287315305.108536
"20",302776936.951023
"21",293228702.084416
"22",314656613.026235
"23",280888018.334372
"24",293502933.364326
"25",320087234.555654
"26",290257060.307577
"27",302270301.241902
"28",268425241.497308
"29",332304460.64543
"30",285777250.517281
"31",298250209.452207
"32",315731343.943638
"33",273366002.424178
"34",310027168.3096
"35",286800684.366487
"36",330146072.391654
"37",294093460.048277
"38",284039421.569077
"39",315064739.976675
"40",282656658.066098
"41",301681804.275249
"42",317997513.385383
"43",281591618.735199
"44",311336164.060228
"45",304097505.483962
"46",288417802.954237
"47",296658939.430781
"48",296526262.948514
"49",285845192.613644
"50",8604541412.13089
"51",279875664.769478
"52",275593190.210954
"53",288995912.378793
"54",321538868.126449
"55",284636533.444155
"56",286448027.621563
"57",296146283.632598
"58",303800969.701401
"59",281451591.969734
"60",273478289.328504
"61",281767065.960273
"62",296099244.10685
"63",304906850.797902
"64",313322662.016242
"65",298215469.424952
"66",317903038.400018
"67",297760685.701471
"68",299788611.522669
"69",293487871.768422
"70",290095944.607376
"71",295966896.983995
"72",273212434.282835
"73",295034010.276283
"74",272488010.062367
"75",288065811.808725
"76",288673157.330665
"77",294027461.227935
"78",286446251.904851
"79",305538726.638521
"80",323898818.546672
"81",305759510.78635
"82",285969001.951709
"83",293356987.327293
"84",302496773.997775
"85",196973159.665301
"86",94997509.4259721
"87",115005290.420877
"88",128826652.628095
"89",154827982.361613
"90",105707364.521946
"91",105073056.21375
"92",106083877.817291
"93",594574010.523039
"94",121025999.633555
"95",108494620.697648
"96",109260921.730621
"97",106411803.543463
"98",123374821.093455
"99",111687906.039719
"100",102046304.516647
"101",112118941.936447
"102",124295880.698729
"103",148050763.587645
"104",141690276.709073
"105",110326992.052616
"106",111691684.769339
"107",137560164.805933
"108",107526014.551979
"109",110276882.035486
"110",103234799.624168
"111",126948483.902011
"112",97022954.6211987
"113",110249915.504518
"114",157845176.895993
"115",101038839.809285
"116",100705393.283233
"117",125698731.94826
"118",105299291.293247
"119",107557104.791581
"120",108127645.732086
"121",127918126.377147
"122",107656645.164392
"123",132804067.44697
"124",99250997.8608989
"125",106236932.467622
"126",103558233.256618
"127",106508734.557644
"128",125939837.520262
"129",132149202.466121
"130",106589849.968758
"131",117281931.136304
"132",109602665.57114
"133",114150013.42681
"134",101213258.32192
"135",102426154.269866
"136",99829397.5661144
"137",108974748.272231
"138",102850626.99681
"139",107166226.869342
"140",106589530.699088
"141",116658545.296125
"142",154959899.321049
"143",107143398.136818
"144",93310368.7177202
"145",94881811.7454814
"146",366431053.387128
"147",107426290.072451
"148",108720163.316333
"149",104991773.247555
"150",105219043.974439
"151",103374917.991269
"152",108312686.818912
"153",113227607.961691
"154",104276210.38192
"155",108402465.321255
"156",113673423.057875
"157",111636765.153643
"158",110107002.516689
"159",98050045.4540132
"160",98510424.6412877
"161",100972642.864825
"162",101771244.176926
"163",111872201.767458
"164",113030308.472583
"165",107653412.233096
"166",106409794.912593
"167",111216631.40173
"168",113652350.221783
"169",103853595.945395
"170",118287037.796662
"171",107839444.947738
"172",103424111.894234
